# 2026-08-02T20:10:34-04:00 A100 measured T(N)  AMORTCSV,file,variant,N,total_ms
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx_sym,100,46.098
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx_sym,1000,75.604
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,didx_sym,10000,373.526
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,cusparse,1,136.724
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,cusparse,10,133.738
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,cusparse,100,139.396
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,cusparse,1000,195.979
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,cusparse,10000,761.114
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,diaq_fp32,1,9.172
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,diaq_fp32,10,15.196
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,diaq_fp32,100,33.436
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,diaq_fp32,1000,216.690
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/bhD1_18_7.txt,diaq_fp32,10000,2036.833
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,didx,1,3523.372
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,didx,10,3532.183
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,didx,100,3650.359
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,didx,1000,4814.937
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,didx,10000,16450.164
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,cusparse,1,8451.594
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,cusparse,10,8449.661
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,cusparse,100,8466.159
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,cusparse,1000,8679.934
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,cusparse,10000,10786.952
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,diaq_fp32,1,557.645
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,diaq_fp32,10,1082.703
