matrix,kernel,metric,value
tfim_16_5,cuda_spmv_dia,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
tfim_16_5,cuda_spmv_dia,l1tex__t_sector_hit_rate.pct,37.50
tfim_16_5,cuda_spmv_dia,launch__shared_mem_per_block_dynamic,0
tfim_16_5,cuda_spmv_dia,launch__shared_mem_per_block_static,0
tfim_16_5,cuda_spmv_dia,lts__t_sector_hit_rate.pct,29.50
tfim_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
tfim_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
tfim_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum,0
tfim_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
fermi_16_5,hm_structured_sparse_matmul_kernel,dram__bytes_read.sum,131343104
fermi_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
fermi_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
fermi_16_5,hm_structured_sparse_matmul_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.18
fermi_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,570227744
fermi_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,1610385
fermi_16_5,hm_structured_sparse_matmul_kernel,l1tex__t_sector_hit_rate.pct,44.97
fermi_16_5,hm_structured_sparse_matmul_kernel,launch__shared_mem_per_block_dynamic,0
fermi_16_5,hm_structured_sparse_matmul_kernel,launch__shared_mem_per_block_static,0
fermi_16_5,hm_structured_sparse_matmul_kernel,lts__t_sector_hit_rate.pct,79.78
fermi_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
fermi_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
fermi_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,0
fermi_16_5,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
fermi_16_5,void gather_meta_kernel,dram__bytes_read.sum,9154304
fermi_16_5,void gather_meta_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,50210
fermi_16_5,void gather_meta_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,498
fermi_16_5,void gather_meta_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,33.17
fermi_16_5,void gather_meta_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,512008032
fermi_16_5,void gather_meta_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
fermi_16_5,void gather_meta_kernel,l1tex__t_sector_hit_rate.pct,38.28
fermi_16_5,void gather_meta_kernel,launch__shared_mem_per_block_dynamic,0
fermi_16_5,void gather_meta_kernel,launch__shared_mem_per_block_static,8196
fermi_16_5,void gather_meta_kernel,lts__t_sector_hit_rate.pct,96.60
fermi_16_5,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,62634292
fermi_16_5,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,453398569608.52
fermi_16_5,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,1812736
fermi_16_5,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,13122075515.40
fermi_16_5,void gather_flat_kernel,dram__bytes_read.sum,9841664
fermi_16_5,void gather_flat_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,118806
fermi_16_5,void gather_flat_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,841
fermi_16_5,void gather_flat_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,22.93
fermi_16_5,void gather_flat_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,608139616
fermi_16_5,void gather_flat_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
fermi_16_5,void gather_flat_kernel,l1tex__t_sector_hit_rate.pct,45.82
fermi_16_5,void gather_flat_kernel,launch__shared_mem_per_block_dynamic,0
fermi_16_5,void gather_flat_kernel,launch__shared_mem_per_block_static,8192
fermi_16_5,void gather_flat_kernel,lts__t_sector_hit_rate.pct,96.28
fermi_16_5,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,61911348
fermi_16_5,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,284393594737.62
fermi_16_5,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,6471296
fermi_16_5,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,29726297221.81
fermi_16_5,void gather_flat_sym_kernel,dram__bytes_read.sum,3935488
fermi_16_5,void gather_flat_sym_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,31629
fermi_16_5,void gather_flat_sym_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,136
fermi_16_5,void gather_flat_sym_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,37.71
fermi_16_5,void gather_flat_sym_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,279421888
fermi_16_5,void gather_flat_sym_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
fermi_16_5,void gather_flat_sym_kernel,l1tex__t_sector_hit_rate.pct,49.15
fermi_16_5,void gather_flat_sym_kernel,launch__shared_mem_per_block_dynamic,0
fermi_16_5,void gather_flat_sym_kernel,launch__shared_mem_per_block_static,8192
fermi_16_5,void gather_flat_sym_kernel,lts__t_sector_hit_rate.pct,96.85
fermi_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,31908104
fermi_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,524804342105.26
fermi_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,841504
fermi_16_5,void gather_flat_sym_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,13840526315.79
fermi_16_5,cuda_spmv_dia,dram__bytes_read.sum,7608576
fermi_16_5,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
fermi_16_5,cuda_spmv_dia,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
fermi_16_5,cuda_spmv_dia,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.26
fermi_16_5,cuda_spmv_dia,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,17368832
fermi_16_5,cuda_spmv_dia,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
fermi_16_5,cuda_spmv_dia,l1tex__t_sector_hit_rate.pct,35.75
fermi_16_5,cuda_spmv_dia,launch__shared_mem_per_block_dynamic,0
fermi_16_5,cuda_spmv_dia,launch__shared_mem_per_block_static,0
fermi_16_5,cuda_spmv_dia,lts__t_sector_hit_rate.pct,30.86
fermi_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
